COPY pre.link_type (link_type, arrow_color) FROM stdin;
inh	#00A651
root	#00A651
inh+	#00A651
bor	#EE334E
bor+	#EE334E
der	#0081C8
uder	#0081C8
af	#FCB131
com	#FCB131
affix	#FCB131
suffix	#FCB131
prefix	#FCB131
suf	#FCB131
confix	#FCB131
compound	#FCB131
redirect	#0081C8
form_of	#0081C8
\.
