COPY pre.lang (lang_code, diacr, real_code) FROM stdin;
ajg	f	ajg
aji	f	aji
ajn	f	ajn
ajp	t	ajp
ajw	f	ajw
ajz	f	ajz
akb	f	akb
akc	f	akc
akd	f	akd
ake	f	ake
akf	f	akf
akg	f	akg
akh	f	akh
aki	f	aki
akj	f	akj
akk	f	akk
akl	f	akl
akm	f	akm
ako	f	ako
akp	f	akp
akq	f	akq
akr	f	akr
aks	f	aks
akt	f	akt
aku	f	aku
akv	f	akv
akw	f	akw
akx	f	akx
aky	f	aky
akz	f	akz
ala	f	ala
alc	f	alc
ald	f	ald
ale	f	ale
alf	f	alf
alh	f	alh
ali	f	ali
alj	f	alj
alk	f	alk
all	f	all
alm	f	alm
alo	f	alo
alp	f	alp
alq	f	alq
alr	f	alr
alt	f	alt
alu	f	alu
alw	f	alw
alx	f	alx
aly	f	aly
alz	f	alz
ama	f	ama
amb	f	amb
amc	f	amc
ame	f	ame
amf	f	amf
amg	f	amg
ami	f	ami
amj	f	amj
amk	f	amk
aml	f	aml
amm	f	amm
amn	f	amn
amo	f	amo
amp	f	amp
amq	f	amq
amr	f	amr
ams	f	ams
amt	f	amt
amu	f	amu
amv	f	amv
amw	f	amw
amx	f	amx
amy	f	amy
amz	f	amz
ana	f	ana
anb	f	anb
anc	f	anc
and	f	and
ane	f	ane
anf	f	anf
ang	t	ang
anh	f	anh
ani	f	ani
anj	f	anj
ank	f	ank
anl	f	anl
anm	f	anm
ann	f	ann
ano	f	ano
anp	f	anp
anq	f	anq
anr	f	anr
ans	f	ans
ant	f	ant
anu	f	anu
anv	f	anv
anw	f	anw
anx	f	anx
any	f	any
anz	f	anz
aoa	f	aoa
aob	f	aob
aoc	f	aoc
aod	f	aod
aoe	f	aoe
aof	f	aof
aog	f	aog
aoi	f	aoi
aoj	f	aoj
aok	f	aok
aol	f	aol
aom	f	aom
aon	f	aon
aor	f	aor
aos	f	aos
aot	f	aot
aou	f	aou
aox	f	aox
aoz	f	aoz
apb	f	apb
apc	t	apc
apd	t	apd
ape	f	ape
apf	f	apf
apg	f	apg
aph	f	aph
api	f	api
apj	f	apj
apk	f	apk
apl	f	apl
apm	f	apm
apn	f	apn
apo	f	apo
app	f	app
apq	f	apq
apr	f	apr
aps	f	aps
apt	f	apt
apu	f	apu
apv	f	apv
apw	f	apw
apx	f	apx
apy	f	apy
apz	f	apz
aqc	f	aqc
aqd	f	aqd
aqg	f	aqg
aqm	f	aqm
aqn	f	aqn
aqp	f	aqp
aqr	f	aqr
aqt	f	aqt
aqz	f	aqz
arc	t	arc
ard	f	ard
are	f	are
arh	f	arh
ari	f	ari
arj	f	arj
ark	f	ark
arl	f	arl
arn	f	arn
aro	f	aro
arp	f	arp
arq	t	arq
arr	f	arr
ars	t	ars
aru	f	aru
arv	f	arv
arw	f	arw
arx	f	arx
ary	t	ary
arz	t	arz
asa	f	asa
asb	f	asb
asc	f	asc
ase	f	ase
asf	f	asf
asg	f	asg
ash	f	ash
asi	f	asi
asj	f	asj
ask	f	ask
asl	f	asl
asn	f	asn
aso	f	aso
asp	f	asp
asq	f	asq
asr	f	asr
ass	f	ass
ast	f	ast
asu	f	asu
asv	f	asv
asw	f	asw
asx	f	asx
asy	f	asy
asz	f	asz
ata	f	ata
atb	f	atb
atc	f	atc
atd	f	atd
ate	f	ate
atg	f	atg
ati	f	ati
atj	f	atj
atk	f	atk
atl	f	atl
atm	f	atm
ato	f	ato
atp	f	atp
atq	f	atq
atr	f	atr
ats	f	ats
att	f	att
atu	f	atu
atv	f	atv
atw	f	atw
atx	f	atx
aty	f	aty
atz	f	atz
aua	f	aua
aub	f	aub
auc	f	auc
aud	f	aud
aug	f	aug
auh	f	auh
aui	f	aui
auj	f	auj
auk	f	auk
aul	f	aul
aum	f	aum
aun	f	aun
auo	f	auo
aup	f	aup
auq	f	auq
aur	f	aur
aut	f	aut
auu	f	auu
auw	f	auw
aux	f	aux
auy	f	auy
auz	f	auz
avb	f	avb
avd	f	avd
avi	f	avi
avk	f	avk
avm	f	avm
avn	f	avn
avo	f	avo
avs	f	avs
avt	f	avt
avu	f	avu
avv	f	avv
awa	f	awa
awb	f	awb
awc	f	awc
awe	f	awe
awg	f	awg
awh	f	awh
awi	f	awi
awk	f	awk
awm	f	awm
awn	f	awn
awo	f	awo
awr	f	awr
aws	f	aws
awt	f	awt
awu	f	awu
awv	f	awv
aww	f	aww
awx	f	awx
awy	f	awy
axb	f	axb
axe	f	axe
axg	f	axg
axk	f	axk
axl	f	axl
axm	t	axm
axx	f	axx
aya	f	aya
ayb	f	ayb
ayd	f	ayd
aye	f	aye
ayg	f	ayg
ayi	f	ayi
ayk	f	ayk
ayl	t	ayl
ayn	t	ayn
ayo	f	ayo
ayp	t	ayp
ayq	f	ayq
ays	f	ays
ayt	f	ayt
ayu	f	ayu
ayy	f	ayy
ayz	f	ayz
aza	f	aza
azd	f	azd
azg	f	azg
azm	f	azm
azn	f	azn
azo	f	azo
azt	f	azt
azz	f	azz
baa	f	baa
bab	f	bab
bac	f	bac
bae	f	bae
baf	f	baf
bag	f	bag
bah	f	bah
baj	f	baj
bal	f	bal
ban	f	ban
bao	f	bao
bap	f	bap
bar	f	bar
bas	f	bas
bau	f	bau
bav	f	bav
baw	f	baw
bax	f	bax
bay	f	bay
bba	f	bba
bbb	f	bbb
bbc	f	bbc
bbd	f	bbd
bbe	f	bbe
bbf	f	bbf
bbg	f	bbg
bbh	f	bbh
bbi	f	bbi
bbj	f	bbj
bbk	f	bbk
bbl	t	bbl
bbm	f	bbm
bbn	f	bbn
bbo	f	bbo
bbp	f	bbp
bbq	f	bbq
bbr	f	bbr
bbs	f	bbs
bbt	f	bbt
bbu	f	bbu
bbv	f	bbv
bbw	f	bbw
bbx	f	bbx
bby	f	bby
bca	f	bca
bcb	f	bcb
bcd	f	bcd
bce	f	bce
bcf	f	bcf
bcg	f	bcg
bch	f	bch
bci	f	bci
bcj	f	bcj
bck	f	bck
bcl	f	bcl
bcm	f	bcm
bcn	f	bcn
bco	f	bco
bcp	f	bcp
bcq	f	bcq
bcr	f	bcr
bcs	f	bcs
bct	f	bct
bcu	f	bcu
bcv	f	bcv
bcw	f	bcw
bcy	f	bcy
bcz	f	bcz
bda	f	bda
bdb	f	bdb
bdc	f	bdc
bdd	f	bdd
bde	f	bde
bdf	f	bdf
bdg	f	bdg
bdh	f	bdh
bdi	f	bdi
bdj	f	bdj
bdk	t	bdk
bdl	f	bdl
bdm	f	bdm
bdn	f	bdn
bdo	f	bdo
bdp	f	bdp
bdq	f	bdq
bdr	f	bdr
bds	f	bds
bdt	f	bdt
bdu	f	bdu
bdv	f	bdv
bdw	f	bdw
bdx	f	bdx
bdy	f	bdy
bdz	f	bdz
bea	f	bea
beb	f	beb
bec	f	bec
bed	f	bed
bee	f	bee
bef	f	bef
beg	f	beg
beh	f	beh
bei	f	bei
bej	f	bej
bek	f	bek
bem	f	bem
beo	f	beo
bep	f	bep
beq	f	beq
bes	f	bes
bet	f	bet
beu	f	beu
bev	f	bev
bew	f	bew
bex	f	bex
bey	f	bey
bez	f	bez
bfa	f	bfa
bfb	f	bfb
bfc	f	bfc
bfd	f	bfd
bfe	f	bfe
bff	f	bff
bfg	f	bfg
bfh	f	bfh
bfi	f	bfi
bfj	f	bfj
bfk	f	bfk
bfl	f	bfl
bfm	f	bfm
bfn	f	bfn
bfo	f	bfo
bfp	f	bfp
bfq	f	bfq
bfr	f	bfr
bfs	f	bfs
bft	f	bft
bfu	f	bfu
bfw	f	bfw
bfx	f	bfx
bfy	f	bfy
bfz	f	bfz
bga	f	bga
bgb	f	bgb
bgc	f	bgc
bgd	f	bgd
bge	f	bge
bgf	f	bgf
bgg	f	bgg
bgi	f	bgi
bgj	f	bgj
bgk	f	bgk
bgl	f	bgl
bgo	f	bgo
bgq	f	bgq
bgr	f	bgr
bgs	f	bgs
bgt	f	bgt
bgu	f	bgu
bgv	f	bgv
bgw	f	bgw
bgx	f	bgx
bgy	f	bgy
bgz	f	bgz
bha	f	bha
bhb	f	bhb
bhc	f	bhc
bhd	f	bhd
bhe	f	bhe
bhf	f	bhf
bhg	f	bhg
bhh	f	bhh
bhi	f	bhi
bhj	f	bhj
bhl	f	bhl
bhm	f	bhm
bhn	f	bhn
bho	f	bho
bhp	f	bhp
bhq	f	bhq
bhs	f	bhs
bht	f	bht
bhu	f	bhu
bhv	f	bhv
bhw	f	bhw
bhx	f	bhx
bhy	f	bhy
bhz	f	bhz
bia	f	bia
bib	f	bib
bic	f	bic
bid	f	bid
bie	f	bie
bif	f	bif
big	f	big
bij	f	bij
bil	f	bil
bim	f	bim
bin	t	bin
bio	f	bio
bip	f	bip
biq	f	biq
bir	f	bir
bit	f	bit
biu	f	biu
biv	f	biv
biw	f	biw
bix	f	bix
biy	f	biy
biz	f	biz
bja	f	bja
bjb	f	bjb
bjc	f	bjc
bje	f	bje
bjf	f	bjf
bjg	f	bjg
bjh	f	bjh
bji	f	bji
bjj	f	bjj
bjk	f	bjk
bjl	f	bjl
bjm	f	bjm
bjn	f	bjn
bjo	f	bjo
bjp	f	bjp
bjr	f	bjr
bjs	f	bjs
bjt	f	bjt
bju	f	bju
bjv	f	bjv
bjw	f	bjw
bjx	f	bjx
bjy	f	bjy
bjz	f	bjz
bka	f	bka
bkc	f	bkc
bkd	f	bkd
bkf	f	bkf
bkg	f	bkg
bkh	f	bkh
bki	f	bki
bkj	f	bkj
bkk	f	bkk
bkl	f	bkl
bkm	f	bkm
bkn	f	bkn
bko	f	bko
bkp	f	bkp
bkq	f	bkq
bkr	f	bkr
bks	f	bks
bkt	f	bkt
bku	f	bku
bkv	f	bkv
bkw	f	bkw
bkx	f	bkx
bky	f	bky
bkz	f	bkz
bla	f	bla
blb	f	blb
blc	f	blc
bld	f	bld
ble	f	ble
blf	f	blf
blg	f	blg
blh	f	blh
bli	f	bli
blj	f	blj
blk	f	blk
bll	f	bll
blm	f	blm
bln	f	bln
blo	f	blo
blp	f	blp
blq	f	blq
blr	f	blr
bls	f	bls
blt	f	blt
blv	f	blv
blw	f	blw
blx	f	blx
bly	f	bly
blz	f	blz
bma	f	bma
bmb	f	bmb
bmc	f	bmc
bmd	f	bmd
bme	f	bme
bmf	f	bmf
bmg	f	bmg
bmh	f	bmh
bmi	f	bmi
bmj	f	bmj
bmk	f	bmk
bml	f	bml
bmn	f	bmn
bmo	f	bmo
bmp	f	bmp
bmq	f	bmq
bmr	f	bmr
bmt	f	bmt
bmu	f	bmu
bmv	f	bmv
bmw	f	bmw
bmx	f	bmx
bmz	f	bmz
bna	f	bna
bnb	f	bnb
bnd	f	bad
bne	f	bne
bnf	f	bnf
bng	f	bng
bni	f	bni
bnj	f	bnj
bnk	f	bnk
bnl	f	bnl
bnm	f	bnm
bnn	f	bnn
bno	f	bno
bnp	f	bnp
bnq	f	bnq
bnr	f	bnr
bns	f	bns
bnu	f	bnu
bnv	f	bnv
bnw	f	bnw
bnx	f	bnx
bny	f	bny
bnz	f	bnz
boa	f	boa
bob	f	bob
boe	f	boe
bof	f	bof
bog	f	bog
boh	f	boh
boi	f	boi
boj	f	boj
bok	f	bok
bol	f	bol
bom	f	bom
bon	f	bon
boo	f	boo
bop	f	bop
boq	f	boq
bor	f	bor
bot	f	bot
bou	f	bou
bov	f	bov
bow	f	bow
box	f	box
boy	f	boy
boz	f	boz
bpa	f	bpa
bpd	f	bpd
bpg	f	bpg
bph	f	bph
bpi	f	bpi
bpj	f	bpj
bpk	f	bpk
bpl	f	bpl
bpm	f	bpm
bpn	f	bpn
bpo	f	bpo
bpp	f	bpp
bpq	f	bpq
bpr	f	bpr
bps	f	bps
bpt	f	bpt
bpu	f	bpu
bpv	f	bpv
bpx	f	bpx
bpy	f	bpy
bpz	f	bpz
bqa	f	bqa
bqb	f	bqb
bqc	f	bqc
bqd	f	bqd
bqf	f	bqf
bqg	f	bqg
bqh	f	bqh
bqi	f	bqi
bqj	f	bqj
bqk	f	bqk
bql	f	bql
bqm	f	bqm
bqn	f	bqn
bqo	f	bqo
bqp	f	bqp
bqq	f	bqq
bqr	f	bqr
bqs	f	bqs
bqt	f	bqt
bqu	f	bqu
bqv	f	bqv
bqw	f	bqw
bqx	f	bqx
bqy	f	bqy
bqz	f	bqz
bra	f	bra
brb	f	brb
brc	f	brc
brd	f	brd
brf	f	brf
brg	f	brg
brh	f	brh
bri	f	bri
brj	f	brj
brk	f	brk
brl	f	brl
brm	f	brm
brn	f	brn
bro	f	bro
brp	f	brp
brq	f	brq
brr	f	brr
brs	f	brs
brt	f	brt
bru	f	bru
brv	f	brv
brw	f	brw
brx	f	brx
bry	f	bry
brz	f	brz
bsa	f	bsa
bsb	f	bsb
bsc	f	bsc
bse	f	bse
bsf	f	bsf
bsg	f	bsg
bsh	f	bsh
bsi	f	bsi
bsj	f	bsj
bsk	f	bsk
bsl	f	bsl
bsm	f	bsm
bsn	f	bsn
bso	f	bso
bsp	f	bsp
bsq	f	bsq
bsr	f	bsr
bss	f	bss
bst	f	bst
bsu	f	bsu
bsv	f	bsv
bsw	f	bsw
bsx	f	bsx
bsy	f	bsy
bta	f	bta
btc	f	btc
btd	f	btd
bte	f	bte
btf	f	btf
btg	f	btg
bth	f	bth
bti	f	bti
btj	f	btj
btm	f	btm
btn	f	btn
bto	f	bto
btp	f	btp
btq	f	btq
btr	f	btr
bts	f	bts
btt	f	btt
btu	f	btu
btv	f	btv
btw	f	btw
btx	f	btx
bty	f	bty
btz	f	btz
bua	f	bua
bub	f	bub
bud	f	bud
bue	f	bue
buf	f	buf
bug	f	bug
buh	f	buh
bui	f	bui
buj	f	buj
buk	f	buk
bum	f	bum
bun	f	bun
buo	f	buo
bup	f	bup
buq	f	buq
bus	f	bus
but	f	but
buu	f	buu
buv	f	buv
buw	f	buw
bux	f	bux
buy	f	buy
bva	f	bva
bvb	f	bvb
bvc	f	bvc
bvd	f	bvd
bve	f	bve
bvf	f	bvf
bvg	f	bvg
bvh	f	bvh
bvi	f	bvi
bvj	f	bvj
bvk	f	bvk
bvl	f	bvl
bvm	f	bvm
bvn	f	bvn
bvo	f	bvo
bvp	f	bvp
bvq	f	bvq
bvr	f	bvr
bvt	f	bvt
bvu	f	bvu
bvv	f	bvv
bvw	f	bvw
bvx	f	bvx
bvy	f	bvy
bvz	f	bvz
bwa	f	bwa
bwb	f	bwb
bwc	f	bwc
bwd	f	bwd
bwe	f	bwe
bwf	f	bwf
bwg	f	bwg
bwh	f	bwh
bwi	f	bwi
bwj	f	bwj
bwk	f	bwk
bwl	f	bwl
bwm	f	bwm
bwn	f	bwn
bwo	f	bwo
bwp	f	bwp
bwq	f	bwq
bwr	f	bwr
bws	f	bws
bwt	f	bwt
bwu	f	bwu
bww	f	bww
bwx	f	bwx
bwy	f	bwy
bwz	f	bwz
bxa	f	bxa
bxb	f	bxb
bxc	f	bxc
bxd	f	bxd
bxe	f	bxe
bxf	f	bxf
bxg	f	bxg
bxh	f	bxh
bxi	f	bxi
bxj	f	bxj
bxk	f	bxk
bxl	f	bxl
bxn	f	bxn
bxo	f	bxo
bxp	f	bxp
bxq	f	bxq
bxs	f	bxs
bxv	f	bxv
bxw	f	bxw
bxz	f	bxz
bya	f	bya
byb	f	byb
byc	f	byc
byd	f	byd
bye	f	bye
byf	f	byf
byg	f	byg
byh	f	byh
byi	f	byi
byj	f	byj
byk	f	byk
byl	f	byl
bym	f	bym
byn	f	byn
byo	f	byo
byp	f	byp
byq	f	byq
byr	f	byr
bys	f	bys
byt	f	byt
byv	f	byv
byw	f	byw
byx	f	byx
byz	f	byz
bza	f	bza
bzb	f	bzb
bzd	f	bzd
bze	f	bze
bzf	f	bzf
bzg	f	bzg
bzh	f	bzh
bzi	f	bzi
bzj	f	bzj
bzk	f	bzk
bzl	f	bzl
bzm	f	bzm
bzn	f	bzn
bzo	f	bzo
bzp	f	bzp
bzq	f	bzq
bzr	f	bzr
bzs	f	bzs
bzu	f	bzu
bzv	f	bzv
bzw	f	bzw
bzx	f	bzx
bzy	f	bzy
bzz	f	bzz
caa	f	caa
cab	f	cab
cac	f	cac
cad	f	cad
cae	f	cae
caf	f	caf
cag	f	cag
cah	f	cah
caj	f	caj
cak	f	cak
cal	f	cal
cam	f	cam
can	f	can
cao	f	cao
cap	f	cap
caq	f	caq
car	f	car
cas	f	cas
cav	f	cav
caw	f	caw
cax	f	cax
cay	f	cay
caz	f	caz
cbb	f	cbb
cbc	f	cbc
cbd	f	cbd
cbg	f	cbg
cbi	f	cbi
cbj	f	cbj
cbk	f	cbk
cbl	f	cbl
cbn	f	cbn
cbo	f	cbo
cbq	f	cbq
cbr	f	cbr
cbs	f	cbs
cbt	f	cbt
cbu	f	cbu
cbv	f	cbv
cbw	f	cbw
cby	f	cby
cca	f	cca
ccc	f	ccc
ccd	f	ccd
cce	f	cce
ccg	f	ccg
cch	f	cch
ccj	f	ccj
ccl	f	ccl
ccm	f	ccm
cco	f	cco
ccp	f	ccp
ccr	f	ccr
cda	f	cda
cde	f	cde
cdf	f	cdf
cdh	f	cdh
cdi	f	cdi
cdj	f	cdj
cdm	f	cdm
cdn	f	cdn
cdo	f	cdo
cdr	f	cdr
cds	f	cds
cdy	f	cdy
cdz	f	cdz
cea	f	cea
ceb	f	ceb
ceg	f	ceg
cen	f	cen
cet	f	cet
cfa	f	cfa
cfd	f	cfd
cfg	f	cfg
cfm	f	cfm
cga	f	cga
cgc	f	cgc
cgg	f	cgg
cgk	f	cgk
chb	f	chb
chc	f	chc
chd	f	chd
chf	f	chf
chg	t	chg
chh	f	chh
chj	f	chj
chk	f	chk
chl	t	chl
chm	t	chm
chn	f	chn
cho	f	cho
chp	f	chp
chq	f	chq
chr	f	chr
cht	f	cht
chw	f	chw
chx	f	chx
chy	f	chy
chz	f	chz
cia	f	cia
cib	f	cib
cic	f	cic
cid	f	cid
cie	f	cie
cih	f	cih
cik	f	cik
cim	t	cim
cin	f	cin
cip	f	cip
cir	f	cir
ciy	f	ciy
cja	f	cja
cje	f	cje
cjh	f	cjh
cji	f	cji
cjk	f	cjk
cjm	f	cjm
cjn	f	cjn
cjo	f	cjo
cjp	f	cjp
cjs	f	cjs
cjv	f	cjv
cjy	f	cjy
ckb	t	ckb
ckh	f	ckh
ckl	f	ckl
ckn	f	ckn
cko	f	cko
ckq	f	ckq
ckr	f	ckr
cks	f	cks
ckt	f	ckt
cku	f	cku
ckv	f	ckv
ckx	f	ckx
cky	f	cky
ckz	f	ckz
cla	f	cla
clc	f	clc
cld	f	cld
cle	f	cle
clh	f	clh
cli	f	cli
clj	f	clj
clk	f	clk
cll	f	cll
clm	f	clm
clo	f	clo
clt	f	clt
clu	f	clu
clw	f	clw
cly	f	cly
cma	f	cma
cme	f	cme
cmg	f	cmg
cmi	f	cmi
cml	f	cml
cmm	f	cmm
cmn	f	cmn
cmo	f	cmo
cmr	f	cmr
cms	f	cms
cmt	f	cmt
cna	f	cna
cnb	f	cnb
cnc	f	cnc
cng	f	cng
cnh	f	cnh
cni	f	cni
cnk	f	cnk
cnl	f	cnl
cno	f	cno
cns	f	cns
cnt	f	cnt
cnu	f	cnu
cnw	f	cnw
cnx	f	cnx
coa	f	coa
cob	f	cob
coc	f	coc
cod	f	cod
coe	f	coe
cof	f	cof
cog	f	cog
coh	f	coh
coj	f	coj
cok	f	cok
col	f	col
com	f	com
con	f	con
coo	f	coo
cop	t	cop
coq	f	coq
cot	f	cot
cou	f	cou
cov	f	cov
cow	f	cow
cox	f	cox
coy	f	coy
coz	f	coz
cpa	f	cpa
cpb	f	cpb
cpc	f	cpc
cpg	f	cpg
cpi	f	cpi
cpn	f	cpn
cpo	f	cpo
cps	f	cps
cpu	f	cpu
cpx	f	cpx
cpy	f	cpy
cqd	f	cqd
cra	f	cra
crb	f	crb
crc	f	crc
crd	f	crd
crf	f	crf
crg	f	crg
crh	f	crh
cri	f	cri
crj	f	crj
crk	f	crk
crl	f	crl
crm	f	crm
crn	f	crn
cro	f	cro
crq	f	crq
crr	f	crr
crs	f	crs
crt	f	crt
crv	f	crv
crw	f	crw
crx	f	crx
cry	f	cry
crz	f	crz
csa	f	csa
csb	f	csb
csc	f	csc
csd	f	csd
cse	f	cse
csf	f	csf
csg	f	csg
csh	f	csh
csi	f	csi
csj	f	csj
csk	f	csk
csl	f	csl
csm	f	csm
csn	f	csn
cso	f	cso
csq	f	csq
csr	f	csr
css	f	css
cst	f	cst
csv	f	csv
csw	f	csw
csy	f	csy
csz	f	csz
cta	f	cta
ctc	f	ctc
ctd	f	ctd
cte	f	cte
ctg	f	ctg
cth	f	cth
ctl	f	ctl
ctm	f	ctm
ctn	f	ctn
cto	f	cto
ctp	t	ctp
cts	f	cts
ctt	f	ctt
ctu	f	ctu
ctz	f	ctz
cua	f	cua
cub	f	cub
cuc	f	cuc
cug	f	cug
cuh	f	cuh
cui	f	cui
cuj	f	cuj
cuk	f	cuk
cul	f	cul
cuo	f	cuo
cup	f	cup
cuq	f	cuq
cur	f	cur
cut	f	cut
cuu	f	cuu
cuv	f	cuv
cuw	f	cuw
cux	f	cux
cuy	f	cuy
cvg	f	cvg
